Sr No.,Reference No  (URN),Journal Date,"Date ofPurchase",Date of Expiry,Name of the Purchaser,Prefix,Bond Number,Denominations,Issue Branch Code,Issue Teller,Status
1,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,TL,11448,"10,00,000",1,5899230,Paid
2,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,TL,11447,"10,00,000",1,5899230,Paid
3,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,TL,11441,"10,00,000",1,5899230,Paid
4,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1113,"1,00,000",1,5899230,Paid
5,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1118,"1,00,000",1,5899230,Paid
6,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1112,"1,00,000",1,5899230,Paid
7,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1115,"1,00,000",1,5899230,Paid
8,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1119,"1,00,000",1,5899230,Paid
9,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1110,"1,00,000",1,5899230,Paid
10,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1111,"1,00,000",1,5899230,Paid
11,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1106,"1,00,000",1,5899230,Paid
12,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1114,"1,00,000",1,5899230,Paid
13,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1117,"1,00,000",1,5899230,Paid
14,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11556,"10,00,000",1,5899230,Paid
15,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11555,"10,00,000",1,5899230,Paid
16,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1125,"1,00,000",1,5899230,Paid
17,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1129,"1,00,000",1,5899230,Paid
18,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1124,"1,00,000",1,5899230,Paid
19,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1128,"1,00,000",1,5899230,Paid
20,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1126,"1,00,000",1,5899230,Paid
21,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ARIHANT ENTERPRISES,TL,11551,"10,00,000",1,5899230,Paid
22,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ARIHANT ENTERPRISES,TL,11554,"10,00,000",1,5899230,Paid
23,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ARIHANT ENTERPRISES,TL,11553,"10,00,000",1,5899230,Paid
